case_study,model,approach,history,history_frames,allowed_interval_s,actionable,missed,too_early,too_late,total_events,warning,missed_rate,missed_lower,missed_upper,missed_result,too_late_rate,too_late_lower,too_late_upper,too_late_result,actionable_rate,actionable_lower,actionable_upper,actionable_result,too_early_rate,too_early_lower,too_early_upper,too_early_result,warning_rate,warning_lower,warning_upper,warning_result
crowdbot,internvl,appfr,H22,22,2,0,0,17,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.8947368421052632,0.6860591728889099,0.9706414397011299,17/19 (89.47%; 95% CI 68.61–97.06%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appfr,H22,22,3,1,0,16,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.05263157894736842,0.009351994062300362,0.24638731166898786,1/19 (5.26%; 95% CI 0.94–24.64%),0.8421052631578947,0.6243452472967093,0.9447952836146585,16/19 (84.21%; 95% CI 62.43–94.48%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appfr,H22,22,4,2,0,15,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.7894736842105263,0.5666572155618583,0.9149232336708375,15/19 (78.95%; 95% CI 56.67–91.49%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appfr,H22,22,5,2,0,15,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.7894736842105263,0.5666572155618583,0.9149232336708375,15/19 (78.95%; 95% CI 56.67–91.49%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appfr,H24,24,1,0,0,17,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.8947368421052632,0.6860591728889099,0.9706414397011299,17/19 (89.47%; 95% CI 68.61–97.06%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appfr,H24,24,2,0,0,17,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.8947368421052632,0.6860591728889099,0.9706414397011299,17/19 (89.47%; 95% CI 68.61–97.06%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appfr,H24,24,3,1,0,16,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.05263157894736842,0.009351994062300362,0.24638731166898786,1/19 (5.26%; 95% CI 0.94–24.64%),0.8421052631578947,0.6243452472967093,0.9447952836146585,16/19 (84.21%; 95% CI 62.43–94.48%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appfr,H24,24,4,2,0,15,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.7894736842105263,0.5666572155618583,0.9149232336708375,15/19 (78.95%; 95% CI 56.67–91.49%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appfr,H24,24,5,2,0,15,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.7894736842105263,0.5666572155618583,0.9149232336708375,15/19 (78.95%; 95% CI 56.67–91.49%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appfr,H26,26,1,0,0,17,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.8947368421052632,0.6860591728889099,0.9706414397011299,17/19 (89.47%; 95% CI 68.61–97.06%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appfr,H26,26,2,0,0,17,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.8947368421052632,0.6860591728889099,0.9706414397011299,17/19 (89.47%; 95% CI 68.61–97.06%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appfr,H26,26,3,1,0,16,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.05263157894736842,0.009351994062300362,0.24638731166898786,1/19 (5.26%; 95% CI 0.94–24.64%),0.8421052631578947,0.6243452472967093,0.9447952836146585,16/19 (84.21%; 95% CI 62.43–94.48%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appfr,H26,26,4,2,0,15,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.7894736842105263,0.5666572155618583,0.9149232336708375,15/19 (78.95%; 95% CI 56.67–91.49%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appfr,H26,26,5,2,0,15,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.7894736842105263,0.5666572155618583,0.9149232336708375,15/19 (78.95%; 95% CI 56.67–91.49%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appfr,H28,28,1,0,0,17,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.8947368421052632,0.6860591728889099,0.9706414397011299,17/19 (89.47%; 95% CI 68.61–97.06%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appfr,H28,28,2,0,0,17,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.8947368421052632,0.6860591728889099,0.9706414397011299,17/19 (89.47%; 95% CI 68.61–97.06%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appfr,H28,28,3,1,0,16,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.05263157894736842,0.009351994062300362,0.24638731166898786,1/19 (5.26%; 95% CI 0.94–24.64%),0.8421052631578947,0.6243452472967093,0.9447952836146585,16/19 (84.21%; 95% CI 62.43–94.48%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appfr,H28,28,4,2,0,15,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.7894736842105263,0.5666572155618583,0.9149232336708375,15/19 (78.95%; 95% CI 56.67–91.49%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appfr,H28,28,5,2,0,15,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.7894736842105263,0.5666572155618583,0.9149232336708375,15/19 (78.95%; 95% CI 56.67–91.49%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appfr,H30,30,1,0,0,17,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.8947368421052632,0.6860591728889099,0.9706414397011299,17/19 (89.47%; 95% CI 68.61–97.06%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appfr,H30,30,2,0,0,17,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.8947368421052632,0.6860591728889099,0.9706414397011299,17/19 (89.47%; 95% CI 68.61–97.06%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appfr,H30,30,3,1,0,16,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.05263157894736842,0.009351994062300362,0.24638731166898786,1/19 (5.26%; 95% CI 0.94–24.64%),0.8421052631578947,0.6243452472967093,0.9447952836146585,16/19 (84.21%; 95% CI 62.43–94.48%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appfr,H30,30,4,2,0,15,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.7894736842105263,0.5666572155618583,0.9149232336708375,15/19 (78.95%; 95% CI 56.67–91.49%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appfr,H30,30,5,2,0,15,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.7894736842105263,0.5666572155618583,0.9149232336708375,15/19 (78.95%; 95% CI 56.67–91.49%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appfr,H32,32,1,0,0,17,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.8947368421052632,0.6860591728889099,0.9706414397011299,17/19 (89.47%; 95% CI 68.61–97.06%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appfr,H32,32,2,0,0,17,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.8947368421052632,0.6860591728889099,0.9706414397011299,17/19 (89.47%; 95% CI 68.61–97.06%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appfr,H32,32,3,1,0,16,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.05263157894736842,0.009351994062300362,0.24638731166898786,1/19 (5.26%; 95% CI 0.94–24.64%),0.8421052631578947,0.6243452472967093,0.9447952836146585,16/19 (84.21%; 95% CI 62.43–94.48%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appfr,H32,32,4,2,0,15,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.7894736842105263,0.5666572155618583,0.9149232336708375,15/19 (78.95%; 95% CI 56.67–91.49%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appfr,H32,32,5,2,0,15,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.7894736842105263,0.5666572155618583,0.9149232336708375,15/19 (78.95%; 95% CI 56.67–91.49%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appod,H02,2,1,0,0,17,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.8947368421052632,0.6860591728889099,0.9706414397011299,17/19 (89.47%; 95% CI 68.61–97.06%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appod,H02,2,2,0,0,17,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.8947368421052632,0.6860591728889099,0.9706414397011299,17/19 (89.47%; 95% CI 68.61–97.06%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appod,H02,2,3,1,0,16,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.05263157894736842,0.009351994062300362,0.24638731166898786,1/19 (5.26%; 95% CI 0.94–24.64%),0.8421052631578947,0.6243452472967093,0.9447952836146585,16/19 (84.21%; 95% CI 62.43–94.48%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appod,H02,2,4,2,0,15,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.7894736842105263,0.5666572155618583,0.9149232336708375,15/19 (78.95%; 95% CI 56.67–91.49%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appod,H02,2,5,2,0,15,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.7894736842105263,0.5666572155618583,0.9149232336708375,15/19 (78.95%; 95% CI 56.67–91.49%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appod,H04,4,1,0,0,17,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.8947368421052632,0.6860591728889099,0.9706414397011299,17/19 (89.47%; 95% CI 68.61–97.06%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appod,H04,4,2,0,0,17,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.8947368421052632,0.6860591728889099,0.9706414397011299,17/19 (89.47%; 95% CI 68.61–97.06%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appod,H04,4,3,1,0,16,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.05263157894736842,0.009351994062300362,0.24638731166898786,1/19 (5.26%; 95% CI 0.94–24.64%),0.8421052631578947,0.6243452472967093,0.9447952836146585,16/19 (84.21%; 95% CI 62.43–94.48%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appod,H04,4,4,2,0,15,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.7894736842105263,0.5666572155618583,0.9149232336708375,15/19 (78.95%; 95% CI 56.67–91.49%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appod,H04,4,5,2,0,15,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.7894736842105263,0.5666572155618583,0.9149232336708375,15/19 (78.95%; 95% CI 56.67–91.49%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appod,H06,6,1,0,0,17,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.8947368421052632,0.6860591728889099,0.9706414397011299,17/19 (89.47%; 95% CI 68.61–97.06%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appod,H06,6,2,0,0,17,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.8947368421052632,0.6860591728889099,0.9706414397011299,17/19 (89.47%; 95% CI 68.61–97.06%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appod,H06,6,3,1,0,16,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.05263157894736842,0.009351994062300362,0.24638731166898786,1/19 (5.26%; 95% CI 0.94–24.64%),0.8421052631578947,0.6243452472967093,0.9447952836146585,16/19 (84.21%; 95% CI 62.43–94.48%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appod,H06,6,4,2,0,15,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.7894736842105263,0.5666572155618583,0.9149232336708375,15/19 (78.95%; 95% CI 56.67–91.49%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appod,H06,6,5,2,0,15,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.7894736842105263,0.5666572155618583,0.9149232336708375,15/19 (78.95%; 95% CI 56.67–91.49%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appod,H08,8,1,0,0,17,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.8947368421052632,0.6860591728889099,0.9706414397011299,17/19 (89.47%; 95% CI 68.61–97.06%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appod,H08,8,2,0,0,17,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.8947368421052632,0.6860591728889099,0.9706414397011299,17/19 (89.47%; 95% CI 68.61–97.06%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appod,H08,8,3,1,0,16,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.05263157894736842,0.009351994062300362,0.24638731166898786,1/19 (5.26%; 95% CI 0.94–24.64%),0.8421052631578947,0.6243452472967093,0.9447952836146585,16/19 (84.21%; 95% CI 62.43–94.48%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appod,H08,8,4,2,0,15,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.7894736842105263,0.5666572155618583,0.9149232336708375,15/19 (78.95%; 95% CI 56.67–91.49%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
crowdbot,internvl,appod,H08,8,5,2,0,15,2,19,19,0.0,0.0,0.16817922405261626,0/19 (0.00%; 95% CI 0.00–16.82%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.10526315789473684,0.02935856029887013,0.31394082711109006,2/19 (10.53%; 95% CI 2.94–31.39%),0.7894736842105263,0.5666572155618583,0.9149232336708375,15/19 (78.95%; 95% CI 56.67–91.49%),1.0,0.8318207759473837,1.0,19/19 (100.00%; 95% CI 83.18–100.00%)
