model,approach,history,history_frames,allowed_interval_s,actionable,missed,too_early,too_late,total_events,warning,missed_rate,missed_lower,missed_upper,missed_result,too_late_rate,too_late_lower,too_late_upper,too_late_result,actionable_rate,actionable_lower,actionable_upper,actionable_result,too_early_rate,too_early_lower,too_early_upper,too_early_result,warning_rate,warning_lower,warning_upper,warning_result
internvl,appfr,H10,10,2,10,1,59,16,86,85,0.011627906976744186,0.0020555686652495644,0.06296406589291725,1/86 (1.16%; 95% CI 0.21–6.30%),0.18604651162790697,0.11789108340273816,0.2810501102417977,16/86 (18.60%; 95% CI 11.79–28.11%),0.11627906976744186,0.06440045821928717,0.20097211179070104,10/86 (11.63%; 95% CI 6.44–20.10%),0.686046511627907,0.5817959683851581,0.7743870279736356,59/86 (68.60%; 95% CI 58.18–77.44%),0.9883720930232558,0.9370359341070826,0.9979444313347503,85/86 (98.84%; 95% CI 93.70–99.79%)
internvl,appfr,H10,10,3,14,1,55,16,86,85,0.011627906976744186,0.0020555686652495644,0.06296406589291725,1/86 (1.16%; 95% CI 0.21–6.30%),0.18604651162790697,0.11789108340273816,0.2810501102417977,16/86 (18.60%; 95% CI 11.79–28.11%),0.16279069767441862,0.09952131046989598,0.25489700862979064,14/86 (16.28%; 95% CI 9.95–25.49%),0.6395348837209303,0.5341068512119144,0.7330303960571808,55/86 (63.95%; 95% CI 53.41–73.30%),0.9883720930232558,0.9370359341070826,0.9979444313347503,85/86 (98.84%; 95% CI 93.70–99.79%)
internvl,appfr,H10,10,4,16,1,53,16,86,85,0.011627906976744186,0.0020555686652495644,0.06296406589291725,1/86 (1.16%; 95% CI 0.21–6.30%),0.18604651162790697,0.11789108340273816,0.2810501102417977,16/86 (18.60%; 95% CI 11.79–28.11%),0.18604651162790697,0.11789108340273816,0.2810501102417977,16/86 (18.60%; 95% CI 11.79–28.11%),0.6162790697674418,0.5106287727439646,0.7119855999802814,53/86 (61.63%; 95% CI 51.06–71.20%),0.9883720930232558,0.9370359341070826,0.9979444313347503,85/86 (98.84%; 95% CI 93.70–99.79%)
internvl,appfr,H10,10,5,18,1,51,16,86,85,0.011627906976744186,0.0020555686652495644,0.06296406589291725,1/86 (1.16%; 95% CI 0.21–6.30%),0.18604651162790697,0.11789108340273816,0.2810501102417977,16/86 (18.60%; 95% CI 11.79–28.11%),0.20930232558139536,0.1366981607462176,0.30676590744316745,18/86 (20.93%; 95% CI 13.67–30.68%),0.5930232558139535,0.487382730957907,0.6907087672214898,51/86 (59.30%; 95% CI 48.74–69.07%),0.9883720930232558,0.9370359341070826,0.9979444313347503,85/86 (98.84%; 95% CI 93.70–99.79%)
internvl,appfr,H12,12,1,6,1,63,16,86,85,0.011627906976744186,0.0020555686652495644,0.06296406589291725,1/86 (1.16%; 95% CI 0.21–6.30%),0.18604651162790697,0.11789108340273816,0.2810501102417977,16/86 (18.60%; 95% CI 11.79–28.11%),0.06976744186046512,0.032365414509921336,0.14396140641036848,6/86 (6.98%; 95% CI 3.24–14.40%),0.7325581395348837,0.6305495916710698,0.8146791537774222,63/86 (73.26%; 95% CI 63.05–81.47%),0.9883720930232558,0.9370359341070826,0.9979444313347503,85/86 (98.84%; 95% CI 93.70–99.79%)
internvl,appfr,H12,12,2,10,1,59,16,86,85,0.011627906976744186,0.0020555686652495644,0.06296406589291725,1/86 (1.16%; 95% CI 0.21–6.30%),0.18604651162790697,0.11789108340273816,0.2810501102417977,16/86 (18.60%; 95% CI 11.79–28.11%),0.11627906976744186,0.06440045821928717,0.20097211179070104,10/86 (11.63%; 95% CI 6.44–20.10%),0.686046511627907,0.5817959683851581,0.7743870279736356,59/86 (68.60%; 95% CI 58.18–77.44%),0.9883720930232558,0.9370359341070826,0.9979444313347503,85/86 (98.84%; 95% CI 93.70–99.79%)
internvl,appfr,H12,12,3,14,1,55,16,86,85,0.011627906976744186,0.0020555686652495644,0.06296406589291725,1/86 (1.16%; 95% CI 0.21–6.30%),0.18604651162790697,0.11789108340273816,0.2810501102417977,16/86 (18.60%; 95% CI 11.79–28.11%),0.16279069767441862,0.09952131046989598,0.25489700862979064,14/86 (16.28%; 95% CI 9.95–25.49%),0.6395348837209303,0.5341068512119144,0.7330303960571808,55/86 (63.95%; 95% CI 53.41–73.30%),0.9883720930232558,0.9370359341070826,0.9979444313347503,85/86 (98.84%; 95% CI 93.70–99.79%)
internvl,appfr,H12,12,4,16,1,53,16,86,85,0.011627906976744186,0.0020555686652495644,0.06296406589291725,1/86 (1.16%; 95% CI 0.21–6.30%),0.18604651162790697,0.11789108340273816,0.2810501102417977,16/86 (18.60%; 95% CI 11.79–28.11%),0.18604651162790697,0.11789108340273816,0.2810501102417977,16/86 (18.60%; 95% CI 11.79–28.11%),0.6162790697674418,0.5106287727439646,0.7119855999802814,53/86 (61.63%; 95% CI 51.06–71.20%),0.9883720930232558,0.9370359341070826,0.9979444313347503,85/86 (98.84%; 95% CI 93.70–99.79%)
internvl,appfr,H12,12,5,18,1,51,16,86,85,0.011627906976744186,0.0020555686652495644,0.06296406589291725,1/86 (1.16%; 95% CI 0.21–6.30%),0.18604651162790697,0.11789108340273816,0.2810501102417977,16/86 (18.60%; 95% CI 11.79–28.11%),0.20930232558139536,0.1366981607462176,0.30676590744316745,18/86 (20.93%; 95% CI 13.67–30.68%),0.5930232558139535,0.487382730957907,0.6907087672214898,51/86 (59.30%; 95% CI 48.74–69.07%),0.9883720930232558,0.9370359341070826,0.9979444313347503,85/86 (98.84%; 95% CI 93.70–99.79%)
internvl,appfr,H14,14,1,5,9,58,14,86,77,0.10465116279069768,0.056040897145363075,0.18707023559220054,9/86 (10.47%; 95% CI 5.60–18.71%),0.16279069767441862,0.09952131046989598,0.25489700862979064,14/86 (16.28%; 95% CI 9.95–25.49%),0.05813953488372093,0.025086935621079658,0.12897844802678554,5/86 (5.81%; 95% CI 2.51–12.90%),0.6744186046511628,0.569778553659483,0.7641430054268858,58/86 (67.44%; 95% CI 56.98–76.41%),0.8953488372093024,0.8129297644077995,0.943959102854637,77/86 (89.53%; 95% CI 81.29–94.40%)
